"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\alogrithms\haversine.dart", "Dart", 40, 6, 11, 57
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart", "Dart", 81, 19, 6, 106
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\firebase_options.dart", "Dart", 71, 12, 7, 90
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart", "Dart", 28, 15, 4, 47
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart", "Dart", 50, 11, 16, 77
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart", "Dart", 30, 1, 2, 33
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\image_loading_indicator.dart", "Dart", 15, 0, 3, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading_indicator.dart", "Dart", 39, 0, 3, 42
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\data\firebase_auth_repo.dart", "Dart", 152, 37, 51, 240
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\domain\entities\app_user.dart", "Dart", 36, 2, 6, 44
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\domain\repos\auth_repo.dart", "Dart", 9, 1, 7, 17
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\auth_button.dart", "Dart", 67, 1, 3, 71
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\auth_text_field.dart", "Dart", 62, 1, 4, 67
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\change_user_type_row.dart", "Dart", 66, 0, 4, 70
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\events_jo_logo_auth.dart", "Dart", 44, 0, 3, 47
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\cubits\auth_cubit.dart", "Dart", 61, 9, 13, 83
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\cubits\auth_states.dart", "Dart", 13, 6, 8, 27
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\auth_page.dart", "Dart", 28, 0, 6, 34
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\login_page.dart", "Dart", 115, 9, 11, 135
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\register_page.dart", "Dart", 298, 28, 41, 367
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\appbar_button.dart", "Dart", 50, 0, 3, 53
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\events_jo_logo.dart", "Dart", 57, 1, 3, 61
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\gradient_text.dart", "Dart", 25, 0, 4, 29
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\home_card.dart", "Dart", 96, 9, 3, 108
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\owner_button.dart", "Dart", 73, 0, 4, 77
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page.dart", "Dart", 156, 6, 15, 177
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\data\geolocator_location_repo.dart", "Dart", 23, 3, 5, 31
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\domain\repo\location_repo.dart", "Dart", 4, 0, 2, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\location_loading_dialog.dart", "Dart", 54, 0, 2, 56
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\location_provided_button.dart", "Dart", 66, 0, 3, 69
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\map_dialog.dart", "Dart", 138, 3, 5, 146
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\map_dialog_preview.dart", "Dart", 86, 3, 7, 96
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\cubits\location_cubit.dart", "Dart", 25, 3, 9, 37
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\cubits\location_states.dart", "Dart", 12, 4, 8, 24
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\navigation\presentation\navigation_bar.dart", "Dart", 92, 0, 7, 99
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\data\firebase_owner_repo.dart", "Dart", 43, 3, 4, 50
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\domain\repo\owner_repo.dart", "Dart", 12, 1, 1, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\date_picker.dart", "Dart", 46, 4, 3, 53
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\dialogs\image_on_tap_dialog.dart", "Dart", 71, 2, 4, 77
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\dialogs\images_dialog_preview.dart", "Dart", 94, 2, 4, 100
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\image_card.dart", "Dart", 51, 0, 3, 54
